author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,count
"starzl, te","klintmalm, gbg","porter, ka","iwatsuki, s","schroter, gpj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
"iwatsuki, s","gordon, rd","shaw, bw","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
"charlton, m","seaberg, e","wiesner, r","everhart, j","zetterman, r","lake, j","detre, k","hoofnagle, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
"bartholomew, mm","jansen, rw","jeffers, lj","reddy, kr","johnson, lc","bunzendahl, h","condreay, ld","tzakis, ag","schiff, er","brown, na",,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
"strasberg, sm","howard, tk","molmenti, ep","hertl, m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"lo, cm","fan, st","liu, cl","wei, wi","lo, rjw","lai, cl","chan, jkf","ng, iol","fung, a","wong, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
"kang, yg","martin, dj","marquez, j","lewis, jh","bontempo, fa","shaw, bw","starzl, te","winter, pm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
"davies, se","portmann, bc","ogrady, jg","aldis, pm","chaggar, k","alexander, gjm","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
"holmgren, g","ericzon, bg","groth, cg","steen, l","suhr, o","andersen, o","wallin, bg","seymour, a","richardson, s","hawkins, pn","pepys, mb",,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"markowitz, js","martin, p","conrad, aj","markmann, jf","seu, p","yersiz, h","goss, ja","schmidt, p","pakrasi, a","artinian, l","murray, ngb","imagawa, dk","holt, c","goldstein, li","stribling, r","busuttil, rw",,,,,,,,,,,,,,,,,,,,,,,46
"ogrady, jg","polson, rj","rolles, k","calne, ry","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
"poon, rtp","fan, st","lo, cm","liu, cl","wong, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
"gane, ej","naoumov, nv","qian, kp","mondelli, mu","maertens, g","portmann, bc","lau, jyn","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
"prieto, m","berenguer, m","rayon, jm","cordoba, j","arguello, l","carrasco, d","garcia-herola, a","olaso, v","de juan, m","gobernado, m","mir, j","berenguer, j",,,,,,,,,,,,,,,,,,,,,,,,,,,49
"samuel, d","bismuth, a","mathieu, d","arulnaden, jl","reynes, m","benhamou, jp","brechot, c","bismuth, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
"grellier, l","mutimer, d","ahmed, m","brown, d",burroughs,"rolles, k","mcmaster, p","beranek, p","kennedy, f","kibbler, h","mcphillips, p","elias, e","dusheiko, g",,,,,,,,,,,,,,,,,,,,,,,,,,30
"tzakis, a","todo, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
"tzakis, ag","gordon, rd","shaw, bw","iwatsuki, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
"bilheimer, dw","goldstein, jl","grundy, sm","starzl, te","brown, ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
"majno, pietro","adam, r","bismuth, h","castaing, d","ariche, a","krissat, j","perin, h","azoulay, d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
"starzl, te","fung, j","tzakis, a","todo, s","demetris, aj","marino, ir","doyle, h","zeevi, a","warty, v","michaels, m","kusne, s","rudert, wa","trucco, m",,,,,,,,,,,,,,,,,,,,,,,,,,24
"ringe, b","wittekind, c","bechstein, wo","bunzendahl, h","pichlmayr, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
"mazzaferro, v",llovet,"miceli, rosalbo","bhoori, sherrie","schiavo, marcello","mariani, luigi","camerini, tiziona","roayaie, sasan","schwartz, myron e.","grazi, gian luca","adam, rene","neuhaus, peter","salizzoni, mauro","bruix, jordi","forner, alejandro","de carlis, luciano","cillo, umberto",burroughs,"troisi, roberto","rossi, massimo","gerunda, giorgio e.","lerut, jan","belghiti, jacques","boin, ilka","gugenheim, jean","rochling, fedja","van hoek, bart","majno, pietro",,,,,,,,,,,100
"qian, sw","demetris, aj","murase, n","rao, as","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
"strom, sc","fisher, ra","thompson, mt","sanyal, aj","cole, pe","ham, jm","posner, mp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"gane, e","saliba, f","valdecasas, gjc","ogrady, j","pescovitz, md","lyman, s","robinson, ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
"kamada, n","davis, hfs","roser, b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
"kawasaki, s","makuuchi, m","matsunami, h","hashikura, y","ikegami, t","nakazawa, y","chisuwa, h","terada, m","miyagawa, s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
"langnas, an","marujo, w","stratta, rj","wood, rp","shaw, bw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
"sheiner, pa","schwartz, me","mor, e","schluger, lk","theise, n","kishikawa, k","kolesnikov, v","bodenheimer, h","emre, s","miller, cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
"wozney, p","zajko, ab","bron, km","point, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
"ogrady, jg","smith, hm","davies, se","daniels, hm","donaldson, pt","tan, kc","portmann, b","alexander, gjm","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
"marcos, a","fisher, ra","ham, jm","shiffman, ml","sanyal, aj","luketic, vac","sterling, rk","posner, mp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
"merion, rm","schaubel, de","dykstra, dm","freeman, rb","port, fk","wolfe, ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"freeman, rb","wiesner, rh","harper, a","mcdiarmid, sv","lake, j","edwards, e","merion, r","wolfe, r","turcotte, j","teperman, l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
"chazouilleres, o","kim, m","combs, c","ferrell, l","bacchetti, p","roberts, j","ascher, nl","neuwald, p","wilber, j","urdea, m","quan, s","sanchezpescador, r","wright, tl",,,,,,,,,,,,,,,,,,,,,,,,,,21
"berenguer, m","prieto, m","rayon, jm","mora, j","pastor, m","ortiz, v","carrasco, d","san juan, f","burgueno, mdj","mir, j","berenguer, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,48
"feray, c","gigou, m","samuel, d","paradis, v","wilber, j","david, mf","urdea, m","reynes, m","brechot, c","bismuth, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
llovet,"bruix, j","fuster, j","castells, a","garcia-valdecasas, jc","grande, l","franca, a","bru, c","navasa, m","ayuso, md","sole, m","real, mi","vilana, r","rimola, a","visa, j","rodes, j",,,,,,,,,,,,,,,,,,,,,,,37
"brown, rs","russo, mw","lai, m","shiffman, ml","richardson, mc","everhart, je","hoofnagle, jh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
"gonwa, ta","mai, ml","melton, lb","hays, sr","goldstein, rm","levy, mf","klintmalm, gb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
"pichlmayr, r","ringe, b","gubernatis, g","hauss, j","bunzendahl, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
"schiff, er","lai, cl","hadziyannis, s","neuhaus, p","terrault, n","colombo, m","tillmann, hl","samuel, d","zeuzem, s","lilly, l","rendina, m","villeneuve, jp","lama, n","james, c","wulfsohn, ms","namini, h","westland, c","xiong, s","choy, gs","van doren, s","fry, j","brosgart, cl",,,,,,,,,,,,,,,,,43
"sanchezurdazpal, l","gores, gj","ward, em","maus, tp","wahlstrom, he","moore, sb","wiesner, rh","krom, raf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
"feray, c","caccamo, l","alexander, gjm","ducot, b","gugenheim, j","casanovas, t","loinaz, c","gigou, m","burra, p","barkholt, l","esteban, r","bizollon, t","lerut, j","minello-franza, a","bernard, ph","nachbaur, g","botta-fridlund, d","bismuth, h","schalm, sw","samuel, d",,,,,,,,,,,,,,,,,,,32
"klintmalm, gb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
"perrillo, rp","wright, t","rakela, j","levy, g","schiff, e","gish, r","martin, p","dienstag, j","adams, p","dickson, r","anschuetz, g","bell, s","condreay, l","brown, n",,,,,,,,,,,,,,,,,,,,,,,,,36
"inomata, y","uemoto, s","asonuma, k","egawa, h","kiuchi, t","fujita, s","hayashi, m","kawashima, m","tanaka, k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
"fan, st","lo, cm","liu, cl","yong, bh","chan, jkf","ng, iol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
"dickson, rc","everhart, je","lake, jr","wei, yl","seaberg, ec","wiesner, rh","zetterman, rk","pruett, tl","ishitani, mb","hoofnagle, jh","detre, km","demetris, aj","lombardero, m","seaberg, e","lawlor, s","fitzgerald, s","haber, j","swanson, gl","wiesner, r","krom, r","porayko, mk","schwerman, l","groettum, c","shaw, b","taylor, k","ascher, n","lake, j","bremerkamp, c","everhart, j","shores, s","broccoli, a","hausman, g","shepard, b","carrol, n","mcgory, r","stevenson, wc","mccullough, c","caldwell, s",32
"snover, dc","sibley, rk","freese, dk","sharp, hl","bloomer, jr","najarian, js","ascher, nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
"bismuth, h","samuel, d","gugenheim, j","castaing, d","bernuau, j","rueff, b","benhamou, jp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
"feray, c","gigou, m","samuel, d","paradis, v","mishiro, s","maertens, g","reynes, m","okamoto, h","bismuth, h","brechot, c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
"greif, f","bronsther, ol","vanthiel, dh","casavilla, a","iwatsuki, s","tzakis, a","todo, s","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
"roayaie, s","frischer, js","emre, sh","fishbein, tm","sheiner, pa","sung, m","miller, cm","schwartz, me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
"dalessandro, am","kalayoglu, m","sollinger, hw","hoffmann, rm","reed, a","knechtle, sj","pirsch, jd","hafez, gr","lorentzen, d","belzer, fo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
"gonwa, ta","klintmalm, gb","levy, m","jennings, ls","goldstein, rm","husberg, bs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
"mazzaferro, v","battiston, c","perrone, s","pulvirenti, a","regalia, e","romito, r","sarli, d","schiavo, m","garbagnati, f","marchiano, a","spreafico, c","camerini, t","mariani, l","miceli, r","andreola, s",,,,,,,,,,,,,,,,,,,,,,,,49
"samuel, d","bizollon, t","feray, c","roche, b","ahmed, sns","lemonnier, c","cohard, m","reynes, m","chevallier, m","ducerf, c","baulieux, j","geffner, m","albrecht, jk","bismuth, h","trepo, c",,,,,,,,,,,,,,,,,,,,,,,,38
"todo, s","furukawa, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
"ogrady, jg","sutherland, s","harvey, f","calne, ry","alexander, gjm","donaldson, pt","portmann, b","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
"lerut, j","gordon, rd","iwatsuki, s","esquivel, co","todo, s","tzakis, a","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
"garcia-retortillo, m","forns, x","feliu, a","moitinho, e","costa, j","navasa, m","rimola, a","rodes, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
"schluger, lk","sheiner, pa","thung, sn","lau, jyn","min, a","wolf, dc","fiel, i","zhang, d","gerber, ma","miller, cm","bodenheimer, hc",,,,,,,,,,,,,,,,,,,,,,,,,,,,27
"chazouilleres, o","mamish, d","kim, m","carey, k","ferrell, l","roberts, jp","ascher, nl","wright, tl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
"stratta, rj","wood, rp","langnas, an","hollins, rr","bruder, kj","donovan, jp","burnett, da","lieberman, rp","lund, gb","pillen, tj","markin, rs","shaw, bw",,,,,,,,,,,,,,,,,,,,,,,,,,,24
"gao, ws","bentley, rc","madden, jf","clavien, pa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
"mazariegos, gv","reyes, j","marino, ir","demetris, aj","flynn, b","irish, w","mcmichael, j","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
"nair, s","verma, s","thuluvath, pj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
"hemming, aw","cattral, ms","reed, ai","van der werf, wj","greig, pd","howard, rj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
